"Pro","Wm82","Wm82Gene.V2.1"
"Glyma.01G140200.1.p","Glyma.01G140200.1.p","Glyma.01G140200"
"Glyma.01G140600.1.p","Glyma.01G140600.1.p","Glyma.01G140600"
"Glyma.01G140600.7.p","Glyma.01G140600.7.p","Glyma.01G140600"
"Glyma.01G141900.3.p","Glyma.01G141900.3.p","Glyma.01G141900"
"Glyma.01G142300.2.p","Glyma.01G142300.2.p","Glyma.01G142300"
"Glyma.01G142400.1.p","Glyma.01G142400.1.p","Glyma.01G142400"
"Glyma.01G142800.1.p","Glyma.01G142800.1.p","Glyma.01G142800"
"Glyma.01G142900.1.p","Glyma.01G142900.1.p","Glyma.01G142900"
"Glyma.01G143100.1.p","Glyma.01G143100.1.p","Glyma.01G143100"
"Glyma.01G144200.3.p","Glyma.01G144200.3.p","Glyma.01G144200"
"Glyma.01G144500.1.p","Glyma.01G144500.1.p","Glyma.01G144500"
"Glyma.01G144800.2.p","Glyma.01G144800.2.p","Glyma.01G144800"
"Glyma.01G145000.1.p","Glyma.01G145000.1.p","Glyma.01G145000"
"Glyma.01G145300.1.p","Glyma.01G145300.1.p","Glyma.01G145300"
"Glyma.01G145400.1.p","Glyma.01G145400.1.p","Glyma.01G145400"
"Glyma.01G146100.1.p","Glyma.01G146100.1.p","Glyma.01G146100"
"Glyma.01G146400.1.p","Glyma.01G146400.1.p","Glyma.01G146400"
"Glyma.01G146600.1.p","Glyma.01G146600.1.p","Glyma.01G146600"
"Glyma.01G147000.1.p","Glyma.01G147000.1.p","Glyma.01G147000"
"Glyma.01G147700.1.p","Glyma.01G147700.1.p","Glyma.01G147700"
"Glyma.01G148700.1.p","Glyma.01G148700.1.p","Glyma.01G148700"
"Glyma.01G148800.1.p","Glyma.01G148800.1.p","Glyma.01G148800"
"Glyma.01G149300.3.p","Glyma.01G149300.3.p","Glyma.01G149300"
"Glyma.01G149500.1.p","Glyma.01G149500.1.p","Glyma.01G149500"
"Glyma.01G149700.1.p","Glyma.01G149700.1.p","Glyma.01G149700"
"Glyma.01G149900.1.p","Glyma.01G149900.1.p","Glyma.01G149900"
"Glyma.01G150200.1.p","Glyma.01G150200.1.p","Glyma.01G150200"
"Glyma.01G150600.1.p","Glyma.01G150600.1.p","Glyma.01G150600"
"Glyma.01G150700.1.p","Glyma.01G150700.1.p","Glyma.01G150700"
"Glyma.01G150800.1.p","Glyma.01G150800.1.p","Glyma.01G150800"
"Glyma.01G151300.1.p","Glyma.01G151300.1.p","Glyma.01G151300"
"Glyma.01G152200.1.p","Glyma.01G152200.1.p","Glyma.01G152200"
"Glyma.01G152700.2.p","Glyma.01G152700.2.p","Glyma.01G152700"
"Glyma.01G152900.1.p","Glyma.01G152900.1.p","Glyma.01G152900"
"Glyma.01G153200.1.p","Glyma.01G153200.1.p","Glyma.01G153200"
"Glyma.01G154500.1.p","Glyma.01G154500.1.p","Glyma.01G154500"
"Glyma.01G154900.1.p","Glyma.01G154900.1.p","Glyma.01G154900"
"Glyma.01G155200.1.p","Glyma.01G155200.1.p","Glyma.01G155200"
"Glyma.01G155300.1.p","Glyma.01G155300.1.p","Glyma.01G155300"
"Glyma.01G155600.2.p","Glyma.01G155600.2.p","Glyma.01G155600"
"Glyma.01G156400.2.p","Glyma.01G156400.2.p","Glyma.01G156400"
"Glyma.01G156600.1.p","Glyma.01G156600.1.p","Glyma.01G156600"
"Glyma.01G157000.2.p","Glyma.01G157000.2.p","Glyma.01G157000"
"Glyma.01G157200.1.p","Glyma.01G157200.1.p","Glyma.01G157200"
"Glyma.01G157300.1.p","Glyma.01G157300.1.p","Glyma.01G157300"
"Glyma.01G157600.1.p","Glyma.01G157600.1.p","Glyma.01G157600"
"Glyma.01G157800.1.p","Glyma.01G157800.1.p","Glyma.01G157800"
"Glyma.01G158000.1.p","Glyma.01G158000.1.p","Glyma.01G158000"
"Glyma.01G158200.1.p","Glyma.01G158200.1.p","Glyma.01G158200"
"Glyma.01G158800.3.p","Glyma.01G158800.3.p","Glyma.01G158800"
"Glyma.01G159000.1.p","Glyma.01G159000.1.p","Glyma.01G159000"
